"","turnover_count","x","y","play_pattern.id","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.id","match_id","position_group.id"
"555",0,116.3,41.2,1,6.484597,10.09321,-0.222583958287426,"Recovery",-2.844228,2,2,3,0,0,0,1,3202,3764289,7
"556",1,55.3,28.3,7,19.51615,15.20128,30.4073567470064,"Recovery",0.7853982,1,1,3,1,1,1,1,6765,3764289,4
"557",0,51,38,7,16.6979,22.64049,17.6151461071673,"Recovery",1.260409,0,1,0,1,1,0,1,3651,3764289,1
"558",0,54.1,52.9,7,15.06154,15.1071,-25.6155334522179,"",-2.3515,0,1,3,0,1,1,1,6574,3764289,4
"559",0,44.1,42.1,7,10.76894,6.012152,2.32973536328059,"",1.748158,0,0,2,1,1,1,0,3323,3764289,2
"560",0,41.3,57.3,7,67.86199,12.06422,86.2282520894697,"",0.2914568,0,2,0,1,1,1,0,3822,3764289,2
"561",0,86.8,51.4,7,6.519202,4.394234,-18.1389972715821,"Recovery",-1.494024,1,1,1,0,1,1,1,4734,3764289,1
"562",0,41.2,26.2,1,28.50123,15.50169,17.605685657402,"",1.48649,0,0,1,1,1,1,0,5206,3764289,2
"563",0,43.6,54.6,1,7.521303,8.744756,7.5599384353636,"",-0.6248862,0,0,0,0,1,1,0,3244,3764289,2
"564",0,55.2,52.5,1,77.76066,16.53185,-21.1152920818979,"",-0.6393859,0,0,2,1,1,1,1,7005,3764289,1
"565",0,116.7,10,1,9.200543,9.583899,11.1274259204095,"",2.487222,0,1,0,0,1,0,1,4354,3764289,6
"566",0,109.3,15.6,1,7.236712,11.94309,-13.6873247730566,"",-1.376111,0,1,1,0,1,1,1,10287,3764289,4
"567",0,105.9,12.1,1,13.58234,12.64471,3.20332096636305,"",2.903757,0,0,2,0,1,0,1,4354,3764289,6
"568",0,92.7,15.3,1,13.94633,13.23087,13.5591696299038,"",2.244417,0,0,1,1,1,0,1,3575,3764289,1
"569",0,86.5,31.7,1,12.46796,11.55636,23.8230967583276,"",1.675253,0,1,2,1,1,1,1,6765,3764289,4
"570",0,85.3,44.3,1,29.36409,22.91354,92.7953655641431,"",0.821527,0,1,1,1,1,1,0,7005,3764289,1
"571",0,99.6,56.9,1,10.16071,13.53817,-77.0018589427063,"",-2.509902,0,2,2,0,1,1,1,3233,3764289,6
"572",0,91.4,50.9,1,15.92263,10.45394,72.1597391081442,"",0.8253769,0,0,2,0,1,1,1,7005,3764289,1
"573",0,102.4,63,1,12.29187,8.589969,-32.1327666026698,"",0.6874467,0,1,1,1,1,1,1,3193,3764289,4
"574",0,15.9,14.3,1,9.042677,8.546913,-3.38708279513882,"Recovery",2.47376,0,1,1,1,1,0,1,9638,3764289,6
"575",0,8.8,12.2,1,24.59675,17.75779,10.2260658441375,"",-0.4636476,0,0,2,1,1,0,1,3651,3764289,1
"576",0,29.2,9.3,1,30.33842,17.9802,30.7602894378747,"",0.8553771,0,1,3,1,1,0,1,9638,3764289,6
"577",0,49.1,32.2,1,39.74167,14.35818,-5.57269245172081,"",-0.7960739,0,1,1,1,1,1,1,9974,3764289,4
"578",0,103.7,26.3,1,14.64787,11.93906,25.1110126148025,"",2.181522,2,0,5,1,1,0,1,4275,3764289,5
"579",0,89.2,21.9,3,11.6297,9.753697,0.272599271459462,"Recovery",-0.1990819,0,1,0,1,1,0,0,3651,3764289,1
"580",0,96.6,11.1,3,10.16366,12.77416,-16.6234287403958,"",-1.342523,1,0,4,1,0,1,1,9638,3764289,6
"581",0,101.5,0.9,3,8.022468,10.4687,11.8306734489669,"",1.645656,1,0,2,1,0,0,1,3651,3764289,1
"582",0,28.4,62,1,11.87266,9.725907,-13.8591521319167,"",-2.57228,1,0,1,1,1,1,1,3233,3764289,6
"583",0,20.2,59.9,1,17.36232,15.8254,14.7565933909115,"",-0.5927949,0,1,1,0,1,1,1,6765,3764289,4
"584",0,26.8,50.3,1,21.65918,14.63459,-7.37751095805854,"",-1.496857,1,0,4,1,0,1,1,10287,3764289,4
"585",0,66.8,46.9,1,28.86468,13.55216,65.9378511003713,"",0.5505202,1,0,2,1,1,0,1,3244,3764289,2
"586",0,26.9,9.4,1,4.382921,3.758528,1.88255132507152,"",-0.4738513,0,1,0,1,1,0,1,3651,3764289,1
"587",0,90.1,9.6,1,8.249242,6.659715,13.5308709037927,"",1.461478,1,1,1,1,0,0,1,9638,3764289,6
"588",1,90.2,18.9,1,4.110961,5.396598,-7.52421995915959,"",-1.497756,1,0,4,1,0,1,1,4760,3764289,7
"589",1,34.3,19.1,3,18.12457,7.477166,7.51471897221794,"Recovery",-0.5006677,1,0,2,1,1,0,1,3651,3764289,1
"590",0,69.9,69.7,3,13.25179,10.33168,35.2305895934282,"Recovery",-0.3384554,0,1,1,0,1,1,1,7005,3764289,1
"591",0,34.1,20.1,3,15.91257,9.596045,-14.3299277248357,"",-1.799008,0,2,1,1,1,0,1,23500,3764289,5
"592",1,30.7,4.6,3,40.05509,18.15798,24.3012193181275,"",-0.05245184,1,0,1,1,1,0,1,3651,3764289,1
"593",0,49.4,77.6,3,16.90946,7.490264,13.6260885406301,"Recovery",-1.130954,0,0,1,0,1,1,0,3244,3764289,2
"594",0,55,59.5,3,14.88086,9.928251,-26.915912893048,"",-2.508844,1,0,2,1,0,0,1,6765,3764289,4
"595",0,55.8,43.8,3,44.91648,20.12853,-12.8758709926605,"",-0.8689316,0,0,2,1,1,0,1,5206,3764289,2
"596",0,91.5,14.9,3,22.32151,17.71528,40.7222238660016,"",1.29865,0,1,0,1,1,0,1,4354,3764289,6
"597",0,97.5,36.4,3,5.108816,6.95642,-15.1542114338661,"",-1.51204,0,2,3,1,1,1,1,3202,3764289,7
"598",0,95.8,30,3,19.80328,16.94484,24.1849637638468,"",2.165802,1,2,6,1,1,0,1,10287,3764289,4
"599",0,85,48.2,3,33.18102,17.1335,-42.3583354139661,"",-0.6356652,0,0,1,1,1,1,0,6765,3764289,4
"600",0,112.4,31.3,3,7.877182,9.142218,19.1764644092006,"",2.148236,2,0,5,1,0,0,1,4354,3764289,6
"601",1,78.5,78.1,2,48.41095,22.1511,3.42188675829687,"",-0.8731488,0,0,1,0,1,1,1,7005,3764289,1
"602",0,64.8,45.1,1,18.95943,14.08798,-23.1260997552319,"",-1.491597,0,0,2,1,1,1,1,3193,3764289,4
"603",0,71.2,33.3,1,22.44148,17.48783,33.0186810899732,"",1.396124,0,0,1,1,1,0,1,3244,3764289,2
"604",0,75.1,55.4,1,14.72311,12.12945,-28.9692705683538,"",-1.700206,0,1,0,1,1,1,1,6765,3764289,4
"605",0,78.5,49.7,1,4.949747,4.993526,5.84713114915222,"",1.712693,0,1,1,1,1,1,1,3193,3764289,4
"606",0,77.8,54.6,1,30.20745,21.17405,70.4412112459953,"",0.7549626,0,1,0,1,1,1,1,6765,3764289,4
